,name,icao,country
424,Armstrong Air,ARQ,ARMSTRONG
425,Air Armenia,ARR,Armenia
426,Aeromet Servicios,ARS,Chile
427,Aerotal Aerolineas Territoriales de Colombia Ltda,ART,Colombia
428,Aravco Ltd.,ARV,United Kingdom
429,Aria,ARW,France
430,Air Xpress,ARX,AIREX
431,Airline Alania,OST,Russia
432,Air Tchad,HTT,Chad
433,Aerloineas de Techuacan,HUC,Mexico
434,Aerotransportes Huitzilin,HUT,Mexico
435,Aero Transportes Del Humaya,HUY,Mexico
436,Argosy Airways,ARY,United States
437,Air Resorts,ARZ,United States
438,Alaska Airlines,ASA,ALASKA
439,Air-Spray 1967 Ltd.,ASB,Canada
440,Air Star Corporation,ASC,Canada
441,Air Sinai,ASD,Egypt
442,Airstars,ASE,Russia
443,Air Schefferville,ASF,SCHEFF
444,African Star Airways (PTY) Ltd.,ASG,South Africa
445,Aerosun International,ASI,AEROSUN
446,Air Satellite,ASJ,Canada
447,Awesome Flight Services (PTY) Ltd.,ASM,South Africa
448,Air and Sea Transport,ASN,Russia
449,Aero Slovakia,ASO,Slovakia
450,Airsprint,ASP,Canada
451,Atlantic Southeast Airlines,ASQ,United States
452,All Star Airlines,ASR,ALL STAR
453,Air Class,ASS,AIR CLASS
454,Aerlineas Del Oeste,AST,Mexico
455,Aviones Are,NRE,Mexico
456,Air Nepal International,NPL,Nepal
457,Air Napier,NPR,New Zealand
458,Air Taxi & Cargo,WAM,Sudan
459,Arrow Panama,WAP,Panama
460,Astravia-Bissau Air Transports Ltd.,ASV,Guinea-Bissau
461,Astrakhan Airlines,ASZ,Russia
462,Air Transport Association,ATA,United States
463,Atlantair Ltd.,ATB,Canada
464,Air Tanzania,ATC,Tanzania
465,Aerotours Dominicana,ATD,Dominican Republic
466,Atlantis Transportation Services,ATE,ATLANTIS CANADA
467,Aerotrans Airline,ATG,Kazakhstan
468,Air Charter World,XAC,United States
469,Air Burkina,VBW,Burkina Faso
470,Air Travel Corp.,ATH,United States
471,Aero-Tropics Air Services,ATI,Australia
472,Air Traffic GmbH,ATJ,Germany
473,AeroTACA,ATK,Colombia
474,Aerocentral,ATL,Mexico
475,Airlines Of Tasmania,ATM,Australia
476,Air Saint Pierre,SPM,France
477,Air Transport International,ATN,United States
478,ASTRAL Colombia - Aerotransportes Especiales Ltda.,ATP,Colombia
479,Air Transport Schiphol,ATQ,Netherlands
480,Aeroferinco,FEO,Mexico
481,Aero Taxis Y Servicios Alfe,FES,Mexico
482,Avialesookhrana,FFA,Russia
483,Africair Service,FFB,Senegal
484,Atlas Airlines,ATR,United States
485,Air Transport Service,ATS,Democratic Republic of the Congo
486,Aer Turas,ATT,Ireland
487,Atlant Aerobatics Ltd.,ATU,Hungary
488,Avanti Air,ATV,Germany
489,Aero Trades (Western) Ltd.,ATW,Canada
490,Austrian Airlines,AUA,Austria
491,Air Southwest,WOW,United Kingdom
492,Augsburg Airways,AUB,Germany
493,Air Corporate,CPV,Italy
494,Aviastar-Tu,TUP,Russia
495,AirBridge Cargo,ABW,Russia
496,ATUR,TUR,Ecuador
497,ATESA Aerotaxis Ecuatorianos,TXU,Ecuador
498,Austin Express,TXX,United States
499,Audi Air,AUD,AUDI AIR
500,Augusta Air Luftfahrtunternehmen,AUF,Germany
501,Abu Dhabi Amiri Flight,AUH,United Arab Emirates
502,Aeroflot-Nord,AUL,Russia
503,Air Atlantic Uruguay,AUM,Uruguay
504,Aviones Unidos,AUN,Mexico
505,Avia Business Group,AUP,Russia
506,Aero Servicios Expecializados,SVE,Mexico
507,Aurigny Air Services,AUR,United Kingdom
508,Aus-Air,AUS,Australia
