,name,icao,country
4416,Shanghai Airlines Cargo,SHQ,China
4417,Shooter Air Courier,SHR,Canada
4418,Shura Air Transport Services,SHS,Ethiopia
4419,Sakhalinskie Aviatrassy (SAT),SHU,Russia
4420,SATA Air Acores,SAT,Portugal
4422,Shavano Air,SHV,United States
4423,Shawnee Airline,SHW,United States
4424,Slim Aviation Services,SHX,Nigeria
4425,Sky Airlines,SHY,Turkey
4426,Singapore Airlines,SIA,Singapore
4427,Sibaviatrans,SIB,Russia
4428,Sierra Express,SIE,United States
4429,Skynet Airlines,SIH,Ireland
4430,Seco International,SIJ,Japan
4431,Servicios Aeronauticos Integrales,SIL,Mexico
4432,Star Air,SIM,Sierra Leone
4433,Sirio,SIO,Italy
4434,Salair,SIR,United States
4435,Saber Airlines,SIS,Egypt
4436,SITA,SIT,Belgium
4437,Slovenian Armed Forces,SIV,Slovenia
4438,Sirio Executive,SIW,Italy
4439,Servicios Aereos Especiales De Jalisco,SJA,Mexico
4440,Servicios Ejecutivos Continental,SJC,Mexico
4441,Sunair 2001,SJE,South Africa
4442,Spirit Aviation,SJJ,United States
4443,Servicios Especiales Del Pacifico Jalisco,SJL,Mexico
4444,Swiss Jet,SJT,Switzerland
4445,Sriwijaya Air,SJY,Indonesia
4446,Sama Airlines,SMY,Saudi Arabia
4447,Southern Jersey Airways,ALC,ACOM
4448,SPASA,SPS,Spain
4449,Speed Aviation,SPT,Bangladesh
4450,Southeast Airmotive,SPU,United States
4451,Servicios Privados De Aviacion,SPV,Mexico
4452,Speedwings,SPW,Switzerland
4453,Service People Gesselschaft fur Charter und Service,SPX,Germany
4454,Slovak National Aeroclub,SQA,Slovakia
4455,Singapore Airlines Cargo,SQC,Singapore
4456,Slovak Air Force,SQF,Slovakia
4457,Servicos De Alquiler,SQL,Mexico
4458,Sair Aviation,SRA,Canada
4459,Searca,SRC,Colombia
4460,Siem Reap Airways,SRH,Cambodia
4461,Sky Work Airlines,SRK,Switzerland
4462,Swedline Express,SRL,Sweden
4463,Servicios Aeronauticos Aero Personal,SRL,Mexico
4464,Sirair,SRN,Russia
4465,Servicios Aereos Ejecutivos Saereo,SRO,Ecuador
4466,South East Asian Airlines,SRQ,Philippines
4467,Star Air,SRR,Denmark
4468,Selkirk Remote Sensing,SRS,Canada
4469,Star Up,SRU,Peru
4470,Sarit Airlines,SRW,Sudan
4471,Sierra Expressway Airlines,SRX,United States
4472,Strato Air Services,SRZ,South Africa
4473,Sasair,SSB,Canada
4474,Southern Seaplane,SSC,United States
4475,Star Service International,SSD,France
4476,Servicios Aereos Sunset,SSE,Mexico
4477,Severstal,SSF,Russia
4478,Slovak Government Flying Service,SSG,Slovakia
4479,SwedJet Airways,BBB,Sweden
4480,Skystar International,SSK,United States
4481,Special Scope Limited,SSO,United Kingdom
4482,Starspeed,SSP,United Kingdom
4483,Sunstate Airlines,SSQ,Australia
4484,SAESA,SSS,Spain
4485,Sunwest Airlines,SST,Canada
4486,SASCA,SSU,Venezuela
4487,Skyservice Airlines,SSV,Canada
4488,Streamline Aviation,SSW,United Kingdom
4489,Sky Aviation,SSY,Sierra Leone
4490,Specsavers Aviation,SSZ,United Kingdom
4491,Star Aviation,STA,United Kingdom
4492,Status-Alpha Airline,STB,Ukraine
4493,Stadium City Limited,STC,United Kingdom
4494,Servicios De Aerotransportacion De Aguascalientes,STD,Mexico
4495,Semitool Europe,STE,United Kingdom
4496,SFT-Sudanese Flight,STF,Sudan
4497,Sedalia,STG, Boonville Stage Line
4498,South-Airlines,STH,Armenia
4499,Sontair,STI,Canada
4500,Sella Aviation,STJ,Netherlands
4501,Stapleford Flight Centre,STL,United Kingdom
4502,Streamline Ops,STO,Russia
4503,Star Air,STQ,Indonesia
4504,Servicios de Transportes A,STU,Argentina
4505,Star African Air,STU,Somali Republic
4506,Southern Aviation,STV,Ghana
4507,South West Air Corporation,STW,Philippines
4508,Stars Away Aviation,STX,South Africa
4509,Styrian Airways,STY,Austria
4510,Silesia Air,SUA,Czech Republic
4511,Suburban Air Freight,SUB,United States
4512,Sudan Airways,SUD,Sudan
4513,Sun Air (Fiji),SUF,Fiji
4514,Sunu Air,SUG,Senegal
4515,Sun Light,SUH,Kyrgyzstan
4516,Swiss Air Force,SUI,Switzerland
4517,Superior Aviation Services,SUK,Kenya
4518,State Unitary Air Enterprise,SUM,Russia
4519,Sun Air,SUR,Egypt
4520,Sun Air of Scandinavia,SUS,Denmark
4521,Sistemas Aeronauuticos 2000,SUT,Mexico
4522,Star West Aviation,SUU,United States
4523,Sundance Air,SUV,Venezuela
4524,Saudi Arabian Airlines,SVA,Saudi Arabia
4525,St. Vincent Grenadines Air (1990),SVD,Saint Vincent and the Grenadines
4526,Swedish Armed Forces,SVF,Sweden
4527,Sahel Airlines,AWJ,Niger
4528,Sterling Helicopters,SVH,United Kingdom
4529,Servicios De Transporte Aereo,SVI,Mexico
4530,Sabre Pacific,APD,Australia
4531,Silver Air,SVJ,Djibouti
4532,Sevastopol-Avia,SVL,Ukraine
4533,Savanair (Angola),SVN,Angola
4534,Servicios Aeronauticos De Oriente,SVO,Mexico
4535,Servicios Aereos Saar,SVS,Mexico
4536,Seven Four Eight Air Services,SVT,Luxembourg
4537,Security Aviation,SVX,United States
4538,Southwest Airlines,SWA,United States
4539,Swissboogie Parapro,SWB,Switzerland
4540,South West Air,SWC,Canada
4541,Southern Winds Airlines,SWD,Argentina
4542,Swedeways,SWE,Sweden
4543,Spurling Aviation,ASL,United States
4544,Sunwing Airlines,SWG,Canada
4545,Sunworld Airlines,SWI,United States
4546,Stateswest Airlines,SWJ,United States
4547,Surninam International Victory Airline,SWO,Suriname
4548,Star Work Sky,SWP,Italy
4549,Swift Air (Interstate Equipment Leasing),SWQ,United States
4550,Swiss International Air Lines,SWR,Switzerland
4551,Swissair,SWR,Switzerland
4552,Sunwest Aviation (Lindquist Investment),SWS,United States
4553,Swiftair,SWT,Spain
4554,Swiss European Air Lines,SWU,Switzerland
4555,Swe Fly,SWV,Sweden
4556,Shovkoviy Shlyah,SWW,Ukraine
4557,Swazi Express Airways,SWX,Swaziland
4558,Sky Jet,SWY,Switzerland
4559,Servair,SWZ,SWISSBIRD
4560,Southern Cross Aviation,SXA,United States
4561,Sky Exec Aviation Services,SXC,Nigeria
4562,Southeast Express Airlines,SXE,United States
4563,Servicios Aereos Sepecializados Mexicanos,SXM,Mexico
4564,SunExpress,SXS,Turkey
4565,Servicios De Taxi Aereo,SXT,Mexico
4566,Satellite Aero,SXX,United States
4567,Safari Express Cargo,SXY,Kenya
4568,Skyways,SYA,Argentina
4569,Systec 2000,SYC,United States
4570,Sheba Aviation,SYE,Yemen
4571,Sky One Express Airlines,SYF,United States
4572,Synergy Aviation,SYG,United Kingdom
4573,Sonalysts,SYI,United States
4574,Slate Falls Airways,SYJ,Canada
4575,Satsair,SYK,United States
4576,Syncrude Canada,SYN,Canada
4577,Syrian Arab Airlines,SYR,Syrian Arab Republic
4578,Shawbury Flying Training Unit,SYS,United Kingdom
4579,Special Aviation Systems,SYV,United States
4580,Skywalk Airlines,SYX,United States
4581,Silk Way Airlines,AZQ,Azerbaijan
4582,South African Historic Flight,SYY,South Africa
4583,Servicios Aeronauticos Z,SZT,Mexico
4584,Specavia Air Company,BHV,Russia
4585,Starair,BLY,Ireland
4586,Sundance Air,BNC,United States
4587,Samara Airlines,BRZ,Russia
4588,Spark+ Joint-Stock Company,BVV,Russia
4589,Swedish Civil Aviation Administration,CBN,Sweden
4590,Shandong Airlines,CDG,China
4591,Spectrem Air,CDS,South Africa
4592,Servicios Aereos Centrales,CEE,Mexico
4593,Swedish Airlines,CFL,Sweden
4594,Seagle Air,CGL,Slovakia
4595,Sirius-Aero,CIG,Russia
4596,Sunwest Home Aviation,CNK,Canada
4597,SAS Braathens,CNO,Norway
4598,Spring Airlines,CQH,China
4599,Sichuan Airlines,CSC,China
4600,Shanghai Airlines,CSH,China
4601,Shuangyang General Aviation,CSY,China
4602,Shenzhen Airlines,CSZ,China
4603,Shanxi Airlines,CXI,China
4604,Sioux Falls Aviation,DKT,United States
4605,Servicios Aereos Elite,DKY,Spain
4606,Servicios Aereos Denim,DNI,Mexico
4607,Swiss Eagle,EAB,Switzerland
4608,Skypower Express Airways,EAN,Nigeria
4609,Scenic Air,ENR,Namibia
4610,Sun D'Or,ERO,Israel
4611,SkyEurope,ESK,Slovakia
4612,Sunshine Express Airlines,EXL,Australia
4613,South African Express,EXY,South Africa
4614,Stuttgarter Flugdienst,FFD,Germany
4615,Shalom Air Services,FFH,Nigeria
4616,Silverjet,FJE,United Kingdom
4617,Sky Bus,FLH,United States
4618,South Coast Aviation,GAD,United Kingdom
4619,Servicios Aereos Gadel,GDE,Mexico
4620,S.P. Aviation,GDG,United States
4621,Seba Airlines,GIK,Guinea
4622,Servicios Aereos Gana,GNA,Mexico
4623,Sky Wings Airlines,GSW,Greece
4624,Star XL German Airlines,GXL,Germany
4625,Skyhaul,HAU,Japan
4626,Starship,HIP,Mexico
4627,Servicios Ejecutivos Gosa,HJE,Mexico
4628,Superior Aviation,HKA,United States
4629,Samaritan Air Service,HLO,Canada
4630,Skyraidybos Mokymo Centras,HRI,Lithuania
4631,Sky Europe Airlines,HSK,Slovakia
4632,Svenska Direktflyg,HSV,Sweden
4633,Sky Helicopteros,HSY,Spain
4634,Skytaxi,IGA,Poland
4635,Silvair,IJS,United States
4636,Servicios Aereos Ilsa,ILS,Mexico
4637,Sincom-Avia,INK,Ukraine
4638,Safat Airlines,IRV,Iran
4639,Saha Airlines Services,IRZ,Iran
4640,Sunline Express,JAM,Kenya
4641,Secure Air Charter,JCM,United States
4642,Sark International Airways,JIM,United Kingdom
4643,Spanair,JKK,Spain
4644,Salem,KKS,Kazakhstan
4645,Servicios Aereos Copters,KOP,Chile
4646,Servicios Aereos Expecializados En Transportes Petroleros,KSP,Colombia
4647,Skybridge Airops,KYB,Italy
4648,Sky Aeronautical Services,KYR,Mexico
4649,Servicios Aereos Ejecutivos De La Laguna,LGU,Mexico
4650,Servico Leo Lopex,LLA,Mexico
4651,Servicios Aereos Estrella,LLS,Mexico
4652,South African Air Force,LMG,South Africa
4653,Sky Limo Corporation,LMO,United States
4654,SANSA,LRS,Costa Rica
4655,Spectrum Aviation Incorporated,LSP,United Kingdom
4656,SOS Helikoptern Gotland,MCG,Sweden
4657,Sundt Air,MDT,Norway
4658,Servicios Aereos Milenio,MLO,Mexico
4659,SAAD (A320) Limited,MMS,Cayman Islands
4660,Servicios Aereos Moritani,MRI,Mexico
4661,San Juan Airlines,MRR,United States
4662,Servico Aereo Regional,MSG,Mozambique
4663,Servicio De Viglancia Aerea Del Ministerio De Seguridad Publica,MSP,Costa Rica
4664,Servicios Aereos MTT,MTG,Mexico
4675,Seulawah Nad Air,NAD,Indonesia
4676,Servicios Aereos del Nazas SA de CV,NAZ,Mexico
4677,Simpson Air Ltd,NCS,Canada
4678,Spirit Airlines,NKS,United States
4679,Servicios Aereos Latinoamericanos,NON,Mexico
4680,Servicios Aereos Monarrez,NRZ,Mexico
4681,Societe De Transport Aerien De Mauritanie,NSC,Mauritania
4682,SATENA,NSE,Colombia
4683,Servicios Aereos Del Norte,NTB,Mexico
4684,Servicios Intergrales De Aviacion,NTG,Mexico
4685,Slok Air Gambia,OKS,Gambia
4686,Soko Aviation,OKT,Spain
4687,Solar Cargo,OLC,Venezuela
4688,Soloflight,OLO,United Kingdom
4689,Sonnig SA,ONG,Switzerland
4690,Sosoliso Airlines,OSL,Nigeria
4691,Servicios Aereos Noticiosos,OSS,Mexico
4692,South Airlines,OTL,Ukraine
4693,Skywest Airlines,OZW,Australia
4694,Sokol,PIV,Russia
4695,South Carolina Aeronautics Commission,PLT,United States
4696,Servicios Aereos Premier,PMR,Mexico
4697,Survey Udara (Penas),PNS,Indonesia
4698,Servicios Aereos Poblanos,POB,Mexico
4699,Servicios Aereos Profesionales,PSV,Dominican Republic
4700,Southeastern Airways,PTM,United States
4701,Spurwing Airlines,PUR,South Africa
4702,Sky Trek International Airlines,PZR,United States
4703,Shandong Airlines Rainbow Jet,RBW,China
4704,SA Airlink Regional,REJ,South Africa
4705,Servicio Aereo Regional Regair,RER,Ecuador
4706,Scoala Superioara De Aviatie Civila,RFT,Romania
4707,Servicios Aereos Regiomontanos,RGC,Mexico
4708,S-Air,RLS,Russia
4709,Servicios De Rampa Y Mostrador,RMP,Mexico
4710,SNAS Aviation,RSE,Saudi Arabia
4711,Skybus Airlines,SKB,United States
4712,Skymaster Air Lines,SKC,United States
4713,Sky Harbor Air Service,SKD,United States
4714,Sky Tours,SKE,United States
4715,Sakaviaservice,AZG,Georgia
4716,Skycraft,SKF,United States
4717,Skycraft Air Transport,SKG,Canada
4718,Skyking,SKI,United Kingdom
4719,SkyKing Turks and Caicos Airways,SKI,Turks and Caicos Islands
4720,Skylink Aviation,SKK,Canada
4721,Skycharter (Malton),SKL,Canada
4722,Skyline Aviation Services,SKN,United States
4723,Scottish Airways Flyers,SKO,United Kingdom
4724,Skyscapes Air Charters,SKR,South Africa
4725,Sky Service,SKS,Belgium
4726,Santa Barbara Airlines,BBR,Venezuela
4727,Skystar Airways,SKT,Thailand
4728,Sky Airline,SKU,Chile
4729,SkyWest,SKW,United States
4730,Skyways Express,SKX,Sweden
4731,Skymark Airlines,SKY,Japan
4732,Skyway Enterprises,SKZ,United States
4733,Sierra National Airlines,SLA,Sierra Leone
4734,Slok Air,SLB,Nigeria
4735,Silver Air,SLD,Czech Republic
4736,Streamline,SLE,South Africa
4737,Starfly,SLF,Italy
4738,Saskatchewan Government,SLG,Canada
4739,Silverhawk Aviation,SLH,United States
4740,Servicios Aereos de Los Angeles,AGE,Mexico
4741,SilkAir,SLK,Singapore
4742,Slovak Airlines,SLL,Slovakia
4743,Surinam Airways,SLM,Suriname
4744,Sloane Aviation,SLN,United Kingdom
4745,Salpa Aviation,SLP,Sudan
4746,Servicios Aereos Slainte,SLS,Mexico
4747,Stella Aviation,SLV,Mauritania
4748,Salama Airlines Nigeria,SLW,Nigeria
4749,Sete Linhas Aereas,SLX,Brazil
4750,Sky Line for Air Services,SLY,Sudan
4751,Super Luza,SLZ,Angola
4752,SMA Airlines,SMA,Nigeria
4753,Sabang Merauke Raya Air Charter,SMC,Indonesia
4754,Servicios Aereos La Marquesa,SMD,Mexico
4756,Semos,SME,Kazakhstan
4757,Smalandsflyg,SMF,Sweden
4758,Smithair,SMH,United States
4759,Semeyavia,SMK,Kazakhstan
4760,Smith Air (1976),SML,Canada
4761,Summit Airlines,SMM,United States
4762,Samar Air,SMQ,Tajikistan
4763,Somon Air,SMR,Tajikistan
4764,Skyline,SMT,Nigeria
4765,Servicios Aerecs Del Sol,AOS,AEROSOL
4766,Senator Aviation Charter,SNA,Germany
4767,Sterling Airlines,SNB,Denmark
4768,Servicios Aereos De Nicaragua (SANSA),SNE,Nicaragua
4769,Shans Air,SNF,Russia
4770,Senair Services,SNH,Senegal
4771,Savanah Airlines,SNI,Nigeria
4772,Skynet Asia Airways,SNJ,Japan
4773,Southeast Airlines (Sun Jet International),SNK,United States
4774,Soonair Lines,SNL,United States
4775,Servizi Aerei,SNM,Italy
4776,Sun Pacific International,SNP,United States
4777,Sun Quest Executive Air Charter,SNQ,United States
4778,Societe Centrafricaine De Transport Aerien,SNS,Central African Republic
4779,Suncoast Aviation,SNT,United States
4780,Snunit Aviation,SNU,Israel
4781,Sudanese States Aviation,SNV,Sudan
4782,Sun West Airlines,SNW,United States
4783,Sun Air Aviation Services,SNX,Canada
4784,Stabo Freight,SOB,Zambia
4785,Southern Cargo Air Lines,SOC,Russia
4786,Southern Ohio Aviation Sales,SOH,United States
4787,Southern Aviation,SOI,Zambia
4788,Solomon Airlines,SOL,Solomon Islands
4789,Somali Airlines,SOM,Somali Republic
4790,Sunshine Air Tours,SON,United States
4791,Southern Air,SOO,United States
4792,Solinair,SOP,Slovenia
4793,Sonair Servico Aereo,SOR,Angola
4794,Southeast Correct Craft,SOT,United States
4795,Southern Airways,SOU,United States
4796,Saratov Aviation Division,SOV,Russia
4797,Sowind Air,SOW,Canada
4798,Solid Air,SOX,Netherland
4799,Sat Airlines,SOZ,Kazakhstan
4800,Sierra Pacific Airlines,SPA,United States
4801,Springbok Classic Air,SPB,South Africa
4802,Skyworld Airlines,SPC,United States
4803,Sprague Electric Company,SPE,United States
4804,Space World Airline,SPF,Nigeria
4805,Springdale Air Service,SPG,United States
4806,Sapphire Executive Air,SPH,South Africa
4807,South Pacific Island Airways,SPI,United States
4808,Servicios Corporativos Aereos De La Laguna,SPL,Mexico
4809,Skorpion Air,SPN,Bulgaria
4810,Sapphire Aviation,SPP,United States
4811,Servicios Aereos Palenque,SPQ,Mexico
4812,Servicios Aereos Tribasa,TBS,Mexico
4813,Shuttle America,TCF,United States
4814,SAAB Nyge Aero,TGT,Sweden
4815,Spark Air,THB,Thailand
4816,S C Ion Tiriac,TIH,Romania
4817,Starlite Aviation,TRL,South Africa
4818,Servicios Aereos Corporativos,TRN,Mauritania
4819,Societe Tout Tranport Mauritanien,TTM,Mauritania
4820,Servicios Aereos Tamazula,TZU,Mexico
4821,Shar Ink,UGP,Russia
4822,Second Sverdlovsk Air Enterprise,UKU,Russia
4823,Servicios Aereos Universitarios,UNT,Mexico
4824,Skif-Air,USK,Ukraine
4825,Smarkand Aero Servise,USN,Uzbekistan
4826,Samarkand Airways,UZS,Uzbekistan
4827,Servicios Aereos Avandaro,VDO,Mexico
4828,Stichting Vliegschool 16Hoven,VGS,Netherlands
4829,Silverback Cargo Freighters,VRB,Rwanda
4830,Sirvair,VRS,Mexico
4831,Scat Air,VSV,Kazakhstan
4832,Sunset Aviation,VXN,United States
4833,Sport Air Travel,WCC,United States
4834,Swift Copters,WFC,Switzerland
4835,Skyrover CC,WLK,South Africa
4836,Safarilink Aviation,XLK,Kenya
4837,SENEAM,XMX,Mexico
4838,Southport Air Service,XPG,United States
4839,Spectrum Air Service,XSA,United States
4840,Stephenville Aviation Services,XSN,Canada
4841,Servicios Aereos Textra,XTA,Mexico
4842,Sector Airlines,XTR,Canada
4843,Skyplan Services,XXS,Canada
4844,Stewart Aviation Services,YBE,United States
4847,Servicios Aereos Integrales / Flyant,FYA,Spain
4848,State Flight Academy of Ukraine,UFA,Ukraine
4849,Trans Jet Airways,SWL,Sweden
4850,Turbot Air Cargo,TAC,Senegal
4851,Tranporte Aereo Dominicano,TAD,Dominican Republic
4852,TAME,TAE,Ecuador
4853,Trans International Express Aviation,BAP,United States
4854,TAG Aviation USA,TAG,United States
4855,Talair,TAL,Papua New Guinea
4856,TAM Brazilian Airlines,TAM,Brazil
4857,Transaustralian Air Express,AUC,Australia
4858,TAP Portugal,TAP,Portugal
4859,Tunisair,TAR,Tunisia
4860,Transportes Aereos Tauro,TAU,Mexico
4861,Travelair,TAX,Germany
4862,TNT Airways,TAY,Belgium
4863,Transbrasil,TBA,Brazil
4864,Turbine Air Cargo UK,TBC,United Kingdom
4865,Thunderbird Tours,TBD,Canada
4866,Tropical Airways,TBG,Haiti
4867,Trinity Air Bahamas,TBH,Bahamas
4868,TAB Express International,TBI,United States
4869,Taban Air Lines,TBM,Iran
4870,Teebah Airlines,TBN,Sierra Leone
4871,Tubelair,TBR,Tunisia
4872,Tobago Express,TBX,Trinidad and Tobago
4873,Tropican Air Services,TCA,Egypt
4874,Transporte del Caribe,TCB,Colombia
4875,Trans Continental Airlines,TCC,Sudan
4876,Tchad Airlines,TCD,Chad
4877,Trans-Colorado Airlines,TCE,United States
4878,Thai Air Cargo,TCG,Thailand
4879,Transcontinental Air,TCH,Bahrain
4880,Teledyne Continental Motors,TCM,United States
4881,Trans Continental Airlines,TCN,United States
4882,Transcorp Airways,TCP,United Kingdom
4883,Transcontinental Sur,TCT,Uruguay
4884,Transglobal Airways Corporation,TCU,Philippines
4885,Thomas Cook Airlines,TCW,Belgium
4886,Thomas Cook Airlines,TCX,United Kingdom
4887,Twin Cities Air Service,TCY,United States
4888,Tadair,TDC,Spain
4889,Tellavia / Flight One,TDE,United States
4890,Transportes Aereos de Ixtlan,TDI,Mexico
4891,Tandem Aero,TDM,Moldova
4892,TRADO,TDO,Dominican Republic
4893,Trade Air,TDR,Croatia
4894,Taxi Aero Nacional Del Evora,TDV,Mexico
4895,Tradewinds Airlines,TDX,United States
4896,Tenir Airlines,TEB,Kyrgyzstan
4897,Teamline Air,TLW,Austria
4898,Tecnicas Fotograficas,TEF,Spain
4899,Tempelhof Airways,TEH,United States
4900,Telford Aviation,TEL,United States
4901,Tech-Mont Helicopter Company,TEM,Slovakia
4902,Tennessee Airways,TEN,United States
4903,Territorial Airlines,TER,United States
4904,TAES Transportes Aereos de El Salvador,TES,El Salvador
4905,Transeuropean Airlines,TEP,Russia
4906,Tepavia-Trans Airlines,TET,Moldova
4907,Trans-Florida Airlines,TFA,United States
4908,Tair Airways,TFB,Philippines
4909,Talon Air,TFF,United States
4910,Trabajos Aereos Murcianos,AIM,Spain
4911,Thai Flying Helicopter Service,TFH,Thailand
4912,Transport Facilitators,TFI,United States
4913,Transafrik International,TFK,Sao Tome and Principe
4914,Transportes Aereos del Pacifico,TFO,Mexico
4915,Thai Flying Service,TFT,Thailand
4916,Transportes Aereos San Rafael,SRF,Chile
4917,Tayside Aviation,TFY,United Kingdom
4918,TG Aviation,TGC,United Kingdom
4919,Trabajos Aereos,TGE,Spain
4920,Transportes Aereos Regionales,TGI,Mexico
4921,TAG Aviation Espana,TGM,Spain
4922,Trigana Air Service,TGN,Indonesia
4923,Titan Airways,AWC,United Kingdom
4924,Transport Canada,TGO,Canada
4925,Tiger Airways,TGW,Singapore
4926,Tiger Airways Australia,TGW,Australia
4927,Transair Gabon],TGX,Gabon
4928,Trans Guyana Airways,TGY,Guyana
4929,Thai Airways International,THA,Thailand
4930,Tar Heel Aviation,THC,United States
4931,Toumai Air Tchad,THE,Chad
4932,Touraine Helicoptere,THF,France
4933,Thai Global Airline,THG,Thailand
4934,Thai Jet Intergroup,THJ,Thailand
4935,Turk Hava Kurumu Hava Taksi Isletmesi,THK,Turkey
4936,Thai AirAsia,AIQ,Thailand
4937,TACA De Honduras,THO,Honduras
4938,Tehran Airline,THR,Iran
4939,Thunder Airlines,THU,Canada
4940,Turkish Airlines,THY,Turkey
4941,Trans Helicoptere Service,THZ,France
4942,Trans International Airlines,TIA,United States
4943,Travel International Air Charters,TIC,Zambia
4944,Time Air,TIE,Czech Republic
4945,Tic Air,TIK,Australia
4946,Tajikistan International Airlines,TIL,Tajikistan
4947,TEAM Transportes Aereos,TIM,Brazil
4948,Taino Tours,TIN,Dominican Republic
4949,Tesis,TIS,Russia
4950,Transcarga Intl Airways,TIW,Venezuela
4951,Tajikair,TJK,Tajikistan
4952,Tien-Shan,TJN,Kazakhstan
4953,Tyrolean Jet Service,TJS,Austria
4954,Twin Jet,TJT,France
4955,Tikal Jets Airlines,TKC,Guatemala
4956,Take Air Line,TKE,France
4957,Tropical International Airways,TKX,Saint Kitts and Nevis
4958,Thai Sky Airlines,TKY,Thailand
4959,Translift Airways,TLA,Ireland
4960,Transport Africa,TLF,Sierra Leone
4961,Trans Atlantic Airlines,TLL,Sierra Leone
4962,Eagle Canyon Airlines,TLO,United States
4963,Tulip Air,TLP,Netherland
4964,Tunisavia,TAJ,Tunisia
4965,TLC Air,TLS,United States
4966,Turtle Airways,TLT,Fiji
4967,Travelair,TLV,Uruguay
4968,Telesis Transair,TLX,United States
4969,Top-Fly,TLY,Spain
4970,Trans Mediterranean Airlines,TMA,Lebanon
4971,Transmed Airlines,TMD,Egypt
4972,Tri-MG Intra Asia Airlines,TMG,Indonesia
4973,Taxis Turisticos Marakame,TMH,Mexico
4974,Tamir Airways,TMI,Israel
4975,Tomahawk Airways,TMK,United States
4976,TAM,TML,Madagascar
4977,TMC Airlines,TMM,United States
4978,TRAM,TMQ,Mauritania
4979,Timberline Air,TMR,Canada
4980,Temsco Helicopters,TMS,United States
4981,Trans Midwest Airlines,TMT,United States
4982,Tramon Air,TMX,South Africa
4983,Transportes Aereos del Mundo Maya,TMY,Mexico
4984,Tranporte Amazonair,TMZ,Venezuela
4985,Trans Air-Benin,TNB,Benin
4986,Taxis Aereos del Noroeste,TNE,Mexico
4987,Transafricaine,TNF,Burkina Faso
4988,Tennessee Air National Guard 164th Airlift Group,TNG,United States
4989,Transair International Linhas Aereas,TNI,United States
4990,Tengeriyn Ulaach Shine,TNL,Mongolia
4991,Tiara Air,TNM,Aruba
4992,Transped Aviation,TNP,Austria
4993,Tanana Air Services,TNR,United States
4994,Trans North Turbo Air,TNT,Canada
4995,Transnorthern,TNV,United States
4996,Trans Nation Airways,TNW,Ethiopia
4997,Trener Ltd,TNX,Hungary
4998,Twin Town Leasing Company,TNY,United States
4999,Tobruk Air,TOB,Libya
5000,TOJ Airlines,TOJ,Tajikistan
5001,Tol-Air Services,TOL,United States
5002,Thomsonfly,TOM,United Kingdom
5003,Top Air,TOP,Turkey
5004,Toronto Airways,TOR,Canada
5005,Tropic Air,TOS,Belize
5006,Totavia,TOT,Canada
5007,Tower Air,TOW,United States
5008,Toyota Canada,TOY,Canada
5009,TAMPA,TPA,Colombia
5010,Top Speed,TPD,Austria
5011,Taxis Aereos del Pacifico,TPF,Mexico
5012,Transportes Aereos Pegaso,TPG,Mexico
5013,TAR Interpilot,TPL,Mauritania
5014,Transpais Aereo,TPM,Mexico
5015,Transportacion Aerea del Norte,TPN,Mexico
5016,Transpac Express,TPP,Australia
5017,Taxis Aereos De Parral,TPR,Mexico
5018,TAPSA Transportes Aereos Petroleros,TPS,Argentina
5019,Transportes Aereo del Sureste,TPT,Mexico
5020,Trans American Airlines (Trans Am),TPU,Peru
5021,Thai Pacific Airlines Business,TPV,Thailand
5022,Transportes Aereos De Xalapa,TPX,Mexico
5023,Trans-Provincial Airlines,TPY,Canada
5024,Transportes La Paz,TPZ,Mexico
5025,Taquan Air Services,TQN,United States
5026,Transportacion Aerea De Queretaro,TQR,Mexico
5027,TransAsia Airways,TNA,Taiwan
5028,Transavia Holland,TRA,Netherlands
5029,Trans Air Charter,TRC,United States
5030,TACV,TCV,Portugal
5031,Trans Island Air,TRD,Barbados
5032,Taxi Air Fret,TRF,France
5033,TRAGSA (Medios Aereos),TRG,Spain
5034,Trans Euro Air,TRJ,United Kingdom
5035,Transport Aerien de Mauritanie,TRM,Mauritania
5036,Tropic Airlines-Air Molokai,TRO,United States
5037,Turdus Airways,TRQ,Netherland
5038,Tramson Limited,TRR,Sudan
5039,Trans Arabian Air Transport,TRT,Sudan
5040,Triangle Airline (Uganda),TRU,Uganda
5041,Transwestern Airlines of Utah,TRW,United States
5042,Tristar Airlines,TRY,United States
5043,TransMeridian Airlines,TRZ,United States
5044,Transair France,TSA,France
5045,TAF-Linhas Aereas,TSD,Brazil
5046,Transmile Air Services,TSE,Malaysia
5047,Trans-Air-Congo,TSG,Republic of the Congo
5048,Transport'air,TSI,France
5049,Trast Aero,TSJ,Kyrgyzstan
5050,Trast Aero,TSK,Kyrgyzstan
5051,Thai Aviation Services,TSL,Thailand
5052,Taftan Airlines,SBT,Iran
5053,Transwest Air,ABS,Canada
5054,Trans Sayegh Airport Services,TSM,Lebanon
5055,Trans-Air Services,TSN,Nigeria
5056,Transaero Airlines,TSO,Russia
5057,Transportes Aereos Inter,TSP,Guatemala
5058,Trans Service Airlift,TSR,Democratic Republic of Congo
5059,Tri-State Aero,TSS,United States
5060,TRAST,TST,Kazakhstan
5061,Tropair Airservices,TSV,United Kingdom
5062,Transwings,TSW,Switzerland
5063,Thai Star Airlines,TSX,Thailand
5064,Tristar Air,TSY,Egypt
5065,TTA - Sociedade de Transporte e Trabalho Aereo,TTA,Mozambique
